student_id,cgpa,attendance,iq,internships,branch,placement,package_lpa
STU001,8.6,92,128,2,CSE,Placed,8.5
STU002,7.4,78,105,1,IT,Placed,5.2
STU003,6.8,71,98,0,ECE,Not Placed,0
STU004,9.1,95,135,3,CSE,Placed,12.0
STU005,7.9,84,112,1,IT,Placed,6.4
STU006,6.2,65,89,0,ME,Not Placed,0
STU007,8.2,88,119,2,ECE,Placed,7.1
STU008,7.1,76,101,0,CSE,Not Placed,0
STU009,8.8,91,130,2,IT,Placed,9.3
STU010,6.9,73,95,1,CE,Not Placed,0
STU011,7.6,82,108,1,CSE,Placed,5.8
STU012,8.4,89,121,2,ECE,Placed,7.8
STU013,5.8,59,84,0,ME,Not Placed,0
STU014,9.4,97,142,4,CSE,Placed,14.5
STU015,7.3,80,103,1,IT,Placed,4.9
STU016,,86,115,1,CSE,Placed,6.7
STU017,6.5,68,92,0,ECE,Not Placed,0
STU018,8.0,87,,2,IT,Placed,7.0
STU019,7.8,83,110,1,CSE,Placed,6.1
STU020,6.7,70,97,0,CE,Not Placed,0
STU021,8.9,93,133,3,CSE,Placed,10.8
STU022,7.0,,100,0,IT,Not Placed,0
STU023,8.1,85,117,2,ECE,Placed,7.4
STU024,6.0,62,86,0,ME,Not Placed,0
STU025,7.5,79,106,1,CSE,Placed,5.5
STU026,8.7,90,126,2,IT,Placed,8.9
STU027,6.4,66,91,0,ECE,Not Placed,0
STU028,7.7,81,109,1,CSE,Placed,6.0
STU029,9.0,94,137,3,IT,Placed,11.5
STU030,6.6,69,94,0,CE,Not Placed,0
STU031,8.3,88,122,2,CSE,Placed,7.9
STU032,7.2,77,102,1,ECE,Placed,4.7
STU033,5.9,60,80,0,ME,Not Placed,0
STU034,8.5,92,129,3,IT,Placed,9.7
STU035,7.9,85,114,1,CSE,Placed,6.8
STU036,6.3,67,90,0,ECE,Not Placed,0
STU037,8.0,86,116,2,CE,Placed,6.9
STU038,7.6,82,107,1,IT,Placed,5.9
STU039,6.1,64,88,0,ME,Not Placed,0
STU040,9.2,96,140,4,CSE,Placed,13.2
STU041,7.4,75,104,1,ECE,Placed,5.1
STU042,6.8,72,99,0,IT,Not Placed,0
STU043,8.6,90,125,2,CSE,Placed,8.2
STU044,7.8,84,111,1,IT,Placed,6.3
STU045,6.5,68,93,0,CE,Not Placed,0
STU046,8.8,91,131,3,ECE,Placed,9.0
STU047,7.0,74,96,0,ME,Not Placed,0
STU048,8.1,87,118,2,CSE,Placed,7.6
STU049,7.3,79,106,1,IT,Placed,5.0
STU050,6.2,63,85,0,ECE,Not Placed,0
STU051,10.0,99,150,5,CSE,Placed,250.0
STU052,2.1,35,40,0,ME,Not Placed,0
STU053,8.4,89,123,,IT,Placed,8.0
STU054,7.7,,113,1,CSE,Placed,6.2
STU055,,81,109,1,ECE,Placed,5.7
STU056,6.9,72,97,0,CE,Not Placed,
STU057,8.9,93,134,3,CSE,Placed,10.2
STU058,7.5,80,108,1,IT,Placed,5.6
STU059,6.0,61,82,0,ME,Not Placed,0
STU060,8.2,88,120,2,ECE,Placed,7.3
